batch_size,epoche,learning_rate,train_acc,train_loss,val_acc,val_loss,test_acc
64,15,0.001,0.030075188726186752,3.489077091217041,0.05970149114727974,3.439183235168457,0.0833333358168602
64,20,0.001,0.060150377452373505,3.4817042350769043,0.02985074557363987,3.444211959838867,0.02777777798473835
64,25,0.001,0.033834587782621384,3.4811744689941406,0.02985074557363987,3.4920449256896973,0.02777777798473835
16,5,0.01,0.02255639061331749,5.096606731414795,0.02985074557363987,5.59848165512085,0.013888888992369175
16,10,0.01,0.01879699155688286,5.8949875831604,0.02985074557363987,5.564302921295166,0.02777777798473835
16,15,0.01,0.030075188726186752,6.38222074508667,0.014925372786819935,5.767064094543457,0.013888888992369175
16,20,0.01,0.03759398311376572,5.690398216247559,0.02985074557363987,7.355443477630615,0.02777777798473835
16,25,0.01,0.030075188726186752,6.585544109344482,0.04477611929178238,5.42927885055542,0.009259259328246117
32,5,0.01,0.030075188726186752,5.183633804321289,0.014925372786819935,4.402482986450195,0.05092592537403107
32,10,0.01,0.01879699155688286,5.418732166290283,0.014925372786819935,4.7981767654418945,0.023148147389292717
32,15,0.01,0.015037594363093376,4.7918853759765625,0.02985074557363987,4.348245620727539,0.004629629664123058
32,20,0.01,0.02255639061331749,5.621002197265625,0.02985074557363987,5.850527286529541,0.02777777798473835
32,25,0.01,0.04511278122663498,4.928585052490234,0.0,5.323320388793945,0.0
64,5,0.01,0.02255639061331749,5.188986778259277,0.04477611929178238,5.524000644683838,0.03703703731298447
64,10,0.01,0.02631578966975212,5.000570774078369,0.02985074557363987,5.345306396484375,0.013888888992369175
64,15,0.01,0.02631578966975212,4.409671783447266,0.04477611929178238,4.594158172607422,0.05092592537403107
64,20,0.01,0.01879699155688286,4.2656426429748535,0.014925372786819935,4.6578874588012695,0.023148147389292717
64,25,0.01,0.030075188726186752,4.1284565925598145,0.04477611929178238,4.281542778015137,0.0833333358168602
